ID_Pays;Continent;PIB_2014;PIB_2021;Alcool_par_habitant;Droit_avortement;Chomage_2014;Chomage_2021;Policier_pour_100k;Facilite_acces_aux_armes;Paix_interieur;Terreur_politique;Population;Meurtre_100k_sur_5
Afghanistan;asie;20497128555,6972;14259995441,0759;0;Autorisé en cas de danger pour la vie de la mère;11,14;13,28;3;5;4,18;4,5;40000412;5
Angola;afrique;135966802586,713;66505129987,7236;5,9;;7,37;8,53;2;3;2,43;3;34532429;4
Albanie;europe;13228147516,1168;18032010563,7558;4,9;Strictement interdit;18,05;11,82;2;4;2,2;2;2811666;2
Andorre;europe;3271685596,66321;3324647529,381;12,4;;;;;;;;78364;
Émirats arabes unis;asie;414105366758,911;415178792769,884;2,8;Autorisé sur demande;1,91;3,36;4;2;1,88;1,5;9575152;4
Argentine;amerique;526319673731,638;486564085480,036;8,3;Autorisé sur demande;7,27;10,9;1;2;2,12;2;45312281;2
Arménie;asie;11609513246,7958;13878908628,9378;3,8;;17,5;20,9;2;4;2,28;2,5;2962300;2
Antigua-et-Barbuda;amerique;1378829629,62963;1601366666,66667;4,9;Autorisé sur demande;;;;;;;92349;
Australie;oceanie;1468265356427,76;1556735770437,26;10,4;Autorisé sur demande;6,08;5,11;2;2;1,5;1,5;25685412;1
Autriche;europe;438556021078,034;480467037338,783;9,7;Autorisé sur demande;5,62;6,3;2;2;1,38;1,5;8955797;1
Azerbaïdjan;asie;75239785452,1022;54825411764,7059;1,3;Autorisé pour raisons de santé;4,91;6,58;1;4;2,24;3;10137750;2
Burundi;afrique;2705783329,80483;2775798697,46022;6,3;Autorisé sur demande;1,57;1,79;3;4;3,17;3,5;12965481;5
Belgique;europe;537987419164,351;598494036474,409;10,5;Autorisé sur demande;8,52;6,42;2;2;1,42;1,5;11586195;1
Bénin;afrique;13284527850,2632;17690083519,9323;1,1;Autorisé pour raisons de santé;2,13;1,57;3;4;;;13413417;
Burkina Faso;afrique;13943016076,7436;19697516284,3787;4,3;Autorisé en cas de danger pour la vie de la mère;4,19;4,76;3;4;2,31;2;21995243;3
Bangladesh;asie;172886611653,786;416271647911,014;0;Autorisé sur demande;4,38;5,23;1;3;2,61;4;167658854;2
Bulgarie;europe;57157782909,9307;84417951260,8091;10,3;Autorisé en cas de danger pour la vie de la mère;11,42;5,42;3;3;1,82;2;6877743;1
Bahreïn;asie;34772526595,7447;40840212765,9574;2;Autorisé pour raisons de santé;1,19;1,87;5;2;2,49;2,5;1504365;1
Bahamas;amerique;10974100000;11368900000;6,3;Autorisé sur demande;13,8;13,24;;;;;396373;
Bosnie-Herzégovine;europe;18558733564,4692;23672712242,2149;4,6;;27,52;15,22;3;3;2,08;2;3244907;1
Bélarus;europe;78812805039,0743;69673747131,87;;Autorisé pour raisons socio-économiques;;;;;;;;
Belize;amerique;2138250000;2420550000;6,8;;8,24;8,22;;;;;395346;
Bermudes;amerique;6413988000;7286607000;;Autorisé pour raisons de santé;;;;;;;64648;
Bolivie;amerique;32996188012,5599;40406111695,179;3,8;Autorisé en cas de danger pour la vie de la mère;2,02;8,51;2;4;2,54;2;11937360;3
Brésil;amerique;2456043727198,85;1670647399034,67;7,2;Autorisé pour raisons socio-économiques;6,66;14,4;3;3,8;2,6;4;209550294;5
Barbade;amerique;5365976700;5275242050;6,3;Autorisé en cas de danger pour la vie de la mère;12,17;10,41;;;;;282147;
