"Albania","","Autorisé sur demande","41.1413 20.0325","Albanie",""
"Barbados","","Autorisé pour raisons socio-économiques","13.1645 -59.5405","Barbade","Autorisé en cas de viol et d'inceste"
"Bolivia","","Autorisé pour raisons de santé","-16.7289 -64.6413","Bolivie","Autorisé en cas de viol et d'inceste"
"Afghanistan","","Autorisé en cas de danger pour la vie de la mère","34.4754 66.8303","Afghanistan",""
"Algeria","","Autorisé pour raisons de santé","27.5231 3.1685","Algérie",""
"Andorra","","Strictement interdit","42.5413 1.5609","Andorre",""
"Angola","","Autorisé pour raisons de santé","-12.2916 17.5029","Angola","Autorisé en cas de viol et d'inceste"
"Antigua & Barbuda","","Autorisé en cas de danger pour la vie de la mère","17.2235 -61.9555","Antigua et Barbuda",""
"Argentina","","Autorisé sur demande","-31.9447 -64.1398","Argentine",""
"Armenia","","Autorisé sur demande","40.2165 45.0003","Arménie",""
"Aruba","","Strictement interdit","12.517 -69.9742","Aruba",""
"Australia","","Autorisé sur demande","-23.079 132.842","Australie",""
"Austria","","Autorisé sur demande","47.614 14.0762","Autriche",""
"Azerbaijan","","Autorisé sur demande","40.2805 47.6804","Azerbaïdjan",""
"Bahamas","","Autorisé pour raisons de santé","24.5065 -77.916","Bahamas",""
"Bahrain","","Autorisé en cas de danger pour la vie de la mère","26.0165 50.5475","Bahreïn",""
"Bangladesh","","Autorisé en cas de danger pour la vie de la mère","23.5391 89.8049","Bangladesh",""
"Belarus","","Autorisé sur demande","53.744 27.947","Bélarus",""
"Belgium ","","Autorisé sur demande","50.6403 4.6667","Belgique",""
"Belize","","Autorisé pour raisons socio-économiques","17.197 -88.7035","Belize",""
"Benin","","Autorisé sur demande","10.6795 2.2845","Bénin",""
"Bhutan","","Autorisé en cas de danger pour la vie de la mère","27.5075 90.4695","Bhoutan","Autorisé en cas de viol et d'inceste"
"Bosnia and Herzegovina","","Autorisé sur demande","44.1809 17.8168","Bosnie-Herzégovine",""
"Botswana","","Autorisé pour raisons de santé","-21.6721 23.9051","Botswana","Autorisé en cas de viol et d'inceste"
"Brazil","","Autorisé en cas de danger pour la vie de la mère","-12.4328 -48.9943","Brésil","Autorisé en cas de viol"
"Brunei Darussalam","","Autorisé en cas de danger pour la vie de la mère","4.6904 114.9152","Brunei Darussalam",""
"Bulgaria","","Autorisé sur demande","42.7345 23.8815","Bulgarie",""
"Burkina Faso","","Autorisé pour raisons de santé","13.0516 -0.6541","Burkina Faso","Autorisé en cas de viol et d'inceste"
"Burundi","","Autorisé pour raisons de santé","-3.407 29.8885","Burundi",""
"Cambodia","","Autorisé sur demande","12.5285 104.3905","Cambodge",""
"Cameroon","","Autorisé pour raisons de santé","4.5495 11.3105","Cameroun","Autorisé en cas de viol"
"Canada","","Autorisé sur demande","58.838 -120.439","Canada",""
"Cape Verde ","","Autorisé sur demande","16.0001 -24.0084","Cabo Verde",""
"Central African Republic","","Autorisé pour raisons de santé","7.2596 21.6691","République Centrafricaine","Autorisé en cas de viol et d'inceste"
"Chad","","Autorisé pour raisons de santé","17.1223 19.3602","Tchad","Autorisé en cas de viol et d'inceste"
"Chile","","Autorisé en cas de danger pour la vie de la mère","-45.7382 -72.9381","Chili","Autorisé en cas de viol"
"China","","Autorisé sur demande","32.205 109.444","Chine",""
"Colombia","","Autorisé sur demande","3.6525 -73.3121","Colombie",""
"Comoros","","Autorisé pour raisons de santé","-11.79 43.356","Comores",""
"Congo","","Strictement interdit","0.0213 16.1533","Congo",""
"Costa Rica","","Autorisé pour raisons de santé","9.9656 -84.1755","Costa Rica",""
"Côte d’Ivoire","","Autorisé en cas de danger pour la vie de la mère","7.9897 -5.5679","Côte d'Ivoire","Autorisé en cas de viol"
"Croatia","","Autorisé sur demande","46.001 16.172","Croatie",""
"Cuba","","Autorisé sur demande","20.2717 -75.3897","Cuba",""
"Curaçao","","Strictement interdit","12.1176 -68.9309","Curaçao",""
"Cyprus","","Autorisé sur demande","34.8725 33.131","Chypre",""
"Czechia","","Autorisé sur demande","49.836 15.5465","Tchécoslovaquie",""
"Democratic People’s Republic of Korea","","Autorisé sur demande","39.6627 126.2592","République populaire démocratique de Corée",""
"Democratic Republic of the Congo","","Autorisé pour raisons de santé","-1.6864 23.7526","République démocratique du Congo","Autorisé en cas de viol et d'inceste"
"Denmark","","Autorisé sur demande","56.2196 9.3108","Danemark",""
"Djibouti","","Autorisé pour raisons de santé","12.169 42.904","Djibouti",""
"Dominica","","Autorisé en cas de danger pour la vie de la mère","15.4365 -61.357","Dominique",""
"Dominican Republic","","Strictement interdit","18.8845 -70.4623","République Dominicaine",""
"Ecuador","","Autorisé pour raisons de santé","-1.4547 -78.3841","Équateur","Autorisé en cas de viol"
"Egypt","","Strictement interdit","26.1939 28.8939","Égypte",""
"El Salvador","","Strictement interdit","13.7262 -88.8729","El Salvador",""
"Equatorial Guinea","","Autorisé sur demande","1.647 10.2955","Guinee Equatoriale",""
"Eritrea","","Autorisé pour raisons de santé","15.9194 38.4016","Erythrée","Autorisé en cas de viol et d'inceste"
"Estonia","","Autorisé sur demande","58.5425 26.5455","Estonie",""
"Eswatini","","Autorisé pour raisons de santé","-26.4899 31.3955","Eswatini","Autorisé en cas de viol et d'inceste"
"Ethiopia","","Autorisé pour raisons socio-économiques","8.83 38.362","Éthiopie","Autorisé en cas de viol et d'inceste"
"Fiji","","Autorisé pour raisons socio-économiques","-17.814 177.759","Fidji","Autorisé en cas de viol et d'inceste"
"Finland","","Autorisé sur demande","63.0704 27.7396","Finlande",""
"France","","Autorisé sur demande","46.6113 2.3336","France",""
"french Guyana","","Autorisé sur demande","4.004 -53","Guyane Française",""
"Gabon","","Autorisé en cas de danger pour la vie de la mère","-0.647 11.6875","Gabon","Autorisé en cas de viol et d'inceste"
"Gambia","","Autorisé en cas de danger pour la vie de la mère","13.5035 -14.2265","Gambie",""
"Georgia","","Autorisé sur demande","42.1618 43.4818","Géorgie",""
"Germany","","Autorisé sur demande","51.143 9.829","Allemagne",""
"Ghana","","Autorisé pour raisons de santé","6.862 -1.092","Ghana","Autorisé en cas de viol et d'inceste"
"United Kingdom","","Autorisé pour raisons socio-économiques","52.4072 -1.7451","Grande Bretagne",""
"Greece","","Autorisé sur demande","38.4414 22.1814","Grèce",""
"Grenada","","Autorisé pour raisons de santé","12.1178 -61.6791","Grenade",""
"Guatemala","","Autorisé en cas de danger pour la vie de la mère","15.2365 -90.7275","Guatemala",""
"Guinea","","Autorisé pour raisons de santé","10.6071 -13.1511","Guinée","Autorisé en cas de viol et d'inceste"
"Guinea-Bissau","","Autorisé sur demande","12.0227 -15.1106","Guinée-Bissau",""
"Guyana","","Autorisé sur demande","4.8175 -58.9745","Guyana",""
"Haiti","","Strictement interdit","19.4448 -72.1017","Haïti",""
"Honduras","","Strictement interdit","14.8229 -86.5899","Honduras",""
"Hong Kong","","Autorisé pour raisons socio-économiques","22.3506 114.1849","Hong Kong","Autorisé en cas de viol et d'inceste"
